timestamp;model;model_basename;target;num_nodes;num_inputs;num_edges;ndcg_ko;ndcg_ki;error_ko;error_ki;n_common_ko;n_common_ki;kendall_ko;kendall_ki;spearman_ko;spearman_ki;mean_abs_rank_diff_ko;mean_abs_rank_diff_ki;top10_jaccard_ko;top10_jaccard_ki;precision_at_10_ko;precision_at_10_ki;recall_at_10_ko;recall_at_10_ki;top20_jaccard_ko;top20_jaccard_ki;precision_at_20_ko;precision_at_20_ki;recall_at_20_ko;recall_at_20_ki;group_jaccard_1_ko;group_jaccard_1_ki;group_jaccard_2_ko;group_jaccard_2_ki;group_jaccard_3_ko;group_jaccard_3_ki;time_heading;time_simulate_original;time_pre_simulate;time_original_analysis;time_propagation;time_propagate_refine;returncode;log_file
2025-12-03T10:58:58;data/realbenchmark/1.txt;1;Apoptosis;41;2;73;0.9486870769835783;0.9863080321490815;0.037267799624996496;0.06130391451319012;85.000;85.000;0.821;0.765;0.836;0.933;0.941;1.624;0.118;0.769;1.000;1.000;0.118;0.769;1.000;0.621;1.000;0.692;1.000;0.857;0.286;0.769;0.118;0.619;1.000;0.200;0.0018150806427001953;0.05683708190917969;1.8799922466278076;4.298521041870117;0.4304964542388916;2.310488700866699;0;benchmarkerr0.4/1__Apoptosis.log
2025-12-03T10:59:27;data/realbenchmark/1.txt;1;Cas9;41;2;73;0.7301101808918677;0.9770517888899259;0.020211302086361082;0.06703330554498697;85.000;85.000;0.518;0.850;0.518;0.951;0.059;1.012;1.000;0.688;1.000;0.786;1.000;0.846;1.000;0.769;1.000;1.000;1.000;0.769;0.286;0.308;1.000;0.722;1.000;0.850;0.0018229484558105469;0.0581209659576416;1.882375955581665;4.328866243362427;0.4797630310058594;2.3621389865875244;0;benchmarkerr0.4/1__Cas9.log
2025-12-03T10:59:55;data/realbenchmark/1.txt;1;Cas6;41;2;73;0.9486870769835783;0.95747494916726;0.037267799624996496;0.07117133887404524;85.000;85.000;0.821;0.738;0.836;0.890;0.941;0.835;0.118;0.909;1.000;0.909;0.118;1.000;1.000;0.282;1.000;1.000;1.000;0.282;0.286;0.909;0.118;0.684;1.000;0.842;0.0018601417541503906;0.056938886642456055;1.8324878215789795;4.270338773727417;0.25014710426330566;2.082634925842285;0;benchmarkerr0.4/1__Cas6.log
2025-12-03T11:00:01;data/realbenchmark/2.txt;2;SMO;17;3;29;0.920255734160608;0.8861931018180654;0.10634095663608178;0.09291744949019809;37.000;37.000;0.333;0.502;0.384;0.491;1.216;1.243;0.421;0.391;0.667;0.900;0.533;0.409;0.568;0.595;0.568;0.595;1.000;1.000;0.400;0.250;0.320;0.400;0.486;0.391;0.0010190010070800781;0.018034934997558594;0.2385540008544922;0.39786601066589355;0.1534411907196045;0.3919951915740967;0;benchmarkerr0.4/2__SMO.log
2025-12-03T11:00:06;data/realbenchmark/2.txt;2;WG_p;17;3;29;0.9581111195109067;0.994009831926816;0.05437063138710486;0.01937485047893483;37.000;37.000;0.686;0.882;0.723;0.965;1.081;0.162;0.700;0.833;0.933;1.000;0.737;0.833;1.000;1.000;1.000;1.000;1.000;1.000;0.444;1.000;0.350;0.833;0.405;1.000;0.0008981227874755859;0.01794123649597168;0.23574018478393555;0.3961050510406494;0.18643903732299805;0.4221792221069336;0;benchmarkerr0.4/2__WG_p.log
2025-12-03T11:00:12;data/realbenchmark/2.txt;2;HH_p;17;3;29;1.0;1.0;5.033670414104628e-06;4.59509138807967e-06;37.000;37.000;1.000;1.000;1.000;1.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.0009479522705078125;0.018684864044189453;0.2494351863861084;0.436830997467041;0.15248680114746094;0.40192198753356934;0;benchmarkerr0.4/2__HH_p.log
2025-12-03T11:00:46;data/realbenchmark/3.txt;3;CyclinB1;25;4;70;1.0;0.9952756104100681;0.0;0.041783023001107894;117.000;117.000;1.000;0.498;1.000;0.690;0.000;3.513;1.000;0.137;1.000;1.000;1.000;0.137;1.000;0.171;1.000;1.000;1.000;0.171;1.000;1.000;1.000;0.571;1.000;0.060;0.0030829906463623047;0.02098989486694336;0.36846208572387695;0.95998215675354;0.5760142803192139;0.9444763660430908;0;benchmarkerr0.4/3__CyclinB1.log
2025-12-03T11:01:21;data/realbenchmark/3.txt;3;cRAF;25;4;70;0.8540229842484097;0.9952113527955084;0.0038198826371165567;0.06015466397811002;119.000;119.000;0.813;0.508;0.813;0.710;0.008;2.639;1.000;0.092;1.000;1.000;1.000;0.092;1.000;1.000;1.000;1.000;1.000;1.000;0.667;1.000;1.000;0.667;1.000;0.092;0.0016090869903564453;0.021147966384887695;0.36013174057006836;0.9477009773254395;0.4098958969116211;0.7700276374816895;0;benchmarkerr0.4/3__cRAF.log
2025-12-03T11:01:58;data/realbenchmark/3.txt;3;RB;25;4;70;0.0;0.9999999999999999;0.0;4.0996003084625905e-06;119.000;119.000;;;0.000;1.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.0017502307891845703;0.021207809448242188;0.37422704696655273;0.9668269157409668;0.44837307929992676;0.8226001262664795;0;benchmarkerr0.4/3__RB.log
2025-12-03T11:02:22;data/realbenchmark/4.txt;4;p70S6K;16;5;46;0.9820386559768229;1.0000000000000002;0.006804138174397716;0.0;69.000;69.000;0.796;1.000;0.891;1.000;0.159;0.000;0.188;1.000;0.188;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.0014750957489013672;0.026908159255981445;0.16977262496948242;0.5630848407745361;0.8559863567352295;1.025758981704712;0;benchmarkerr0.4/4__p70S6K.log
2025-12-03T11:02:46;data/realbenchmark/4.txt;4;mTOR;16;5;46;0.9531182797718215;1.0000000000000002;0.015313419120267657;0.0;69.000;69.000;0.657;1.000;0.768;1.000;0.362;0.000;0.232;1.000;0.232;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.571;1.000;0.0011959075927734375;0.02691817283630371;0.17059993743896484;0.5702481269836426;0.24352192878723145;0.4141218662261963;0;benchmarkerr0.4/4__mTOR.log
2025-12-03T11:03:10;data/realbenchmark/4.txt;4;PKCa;16;5;46;0.98685802779383;1.0000000000000002;0.006804138174397716;0.0;69.000;69.000;0.781;1.000;0.916;1.000;0.159;0.000;0.174;1.000;0.174;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.0011529922485351562;0.02678704261779785;0.16786885261535645;0.5618538856506348;0.4604332447052002;0.6283020973205566;0;benchmarkerr0.4/4__PKCa.log
2025-12-03T11:03:46;data/realbenchmark/5.txt;5;Sic1;20;4;42;0.7338793349436724;0.8550800822620903;0.09023302394426655;0.09791732794246585;79.000;79.000;0.335;0.509;0.406;0.564;3.658;1.899;0.091;0.375;0.200;0.545;0.143;0.545;0.579;0.366;0.647;0.484;0.846;0.600;0.000;0.000;0.091;0.167;0.167;0.375;0.0016450881958007812;0.044970035552978516;0.44627809524536133;1.2546961307525635;1.2284469604492188;1.67472505569458;0;benchmarkerr0.4/5__Sic1.log
2025-12-03T11:04:21;data/realbenchmark/5.txt;5;Cdh1;20;4;42;0.9478893521137229;0.9585100752713335;0.041753546790904525;0.046850069194658645;79.000;79.000;0.709;0.710;0.820;0.901;4.570;2.911;0.312;1.000;0.455;1.000;0.500;1.000;0.550;0.442;0.880;1.000;0.595;0.442;1.000;0.000;0.250;0.400;0.364;0.500;0.0014488697052001953;0.04560422897338867;0.4471702575683594;1.267685890197754;0.8460938930511475;1.2932641506195068;0;benchmarkerr0.4/5__Cdh1.log
2025-12-03T11:04:57;data/realbenchmark/5.txt;5;Whi5;20;4;42;0.9310252076580993;0.9172306835170675;0.05046515006304921;0.05645654146937752;79.000;79.000;0.685;0.486;0.771;0.618;3.759;0.899;0.286;0.474;0.545;0.562;0.375;0.750;0.538;0.405;0.955;0.810;0.553;0.447;0.500;0.500;0.400;0.333;0.176;0.429;0.0015397071838378906;0.04466390609741211;0.4385700225830078;1.2602901458740234;0.7151639461517334;1.1537339687347412;0;benchmarkerr0.4/5__Whi5.log
2025-12-03T11:05:07;data/realbenchmark/6.txt;6;apoptosis;28;3;45;0.9632373567048662;0.9939648188762163;0.0662512114075788;0.0710253601234121;53.000;53.000;0.695;0.821;0.739;0.848;1.736;1.604;0.688;1.000;0.917;1.000;0.733;1.000;0.472;0.636;0.472;0.955;1.000;0.656;0.600;0.300;0.423;0.714;0.321;0.438;0.0014188289642333984;0.02712106704711914;0.6879029273986816;1.2912101745605469;0.21700263023376465;0.9049055576324463;0;benchmarkerr0.4/6__apoptosis.log
2025-12-03T11:05:16;data/realbenchmark/6.txt;6;IKK;28;3;45;0.0;0.9897004983353412;0.0;0.01982728147784982;53.000;53.000;;;0.000;0.973;0.000;0.019;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.857;0.0011379718780517578;0.027230262756347656;0.6881539821624756;1.3090019226074219;0.26190185546875;0.9500558376312256;0;benchmarkerr0.4/6__IKK.log
2025-12-03T11:05:26;data/realbenchmark/6.txt;6;ROS;28;3;45;0.8828593703791582;0.9528657094125541;0.08047978968334822;0.10748027698095987;52.000;52.000;0.664;0.637;0.658;0.675;0.442;1.346;0.647;0.200;0.688;0.333;0.917;0.333;1.000;0.571;1.000;0.800;1.000;0.667;0.200;0.333;0.556;0.500;0.400;0.429;0.0011739730834960938;0.02748703956604004;0.6887400150299072;1.3113110065460205;0.20930075645446777;0.898040771484375;0;benchmarkerr0.4/6__ROS.log
2025-12-03T11:07:29;data/realbenchmark/7.txt;7;Closure;44;4;78;0.8959357003389097;0.8707477222589024;0.07872922308795373;0.10810840251082535;122.000;122.000;0.734;0.370;0.737;0.359;4.746;2.820;0.467;0.093;0.700;0.182;0.583;0.160;0.577;0.093;0.750;0.182;0.714;0.160;0.429;0.000;0.348;0.154;0.424;0.412;0.0026340484619140625;0.15267515182495117;4.659282922744751;11.454400062561035;1.9042491912841797;6.563532114028931;0;benchmarkerr0.4/7__Closure.log
2025-12-03T11:09:31;data/realbenchmark/7.txt;7;Atrboh;44;4;78;0.0;0.8884024900923484;0.0;0.03395030128551217;122.000;122.000;;;0.000;0.911;0.000;0.066;1.000;0.082;1.000;0.082;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.125;1.000;0.900;1.000;1.000;0.002173900604248047;0.15277981758117676;4.661074161529541;11.416885137557983;0.7820696830749512;5.443143844604492;0;benchmarkerr0.4/7__Atrboh.log
2025-12-03T11:11:35;data/realbenchmark/7.txt;7;CaIM;44;4;78;0.6969863563629148;0.899393543203693;0.0988621006922202;0.09707606222214299;122.000;122.000;0.517;0.390;0.446;0.427;3.131;1.787;0.216;0.342;0.421;0.867;0.308;0.361;0.243;0.289;0.450;0.591;0.346;0.361;0.000;1.000;0.217;0.342;0.297;0.302;0.002176046371459961;0.15301299095153809;4.695552825927734;11.48892617225647;1.8220207691192627;6.517573595046997;0;benchmarkerr0.4/7__CaIM.log
2025-12-03T11:12:11;data/realbenchmark/8.txt;8;ERBB3;25;4;70;0.9999999999999998;1.0;0.0;3.946361677767577e-06;122.000;122.000;1.000;1.000;1.000;1.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.002171039581298828;0.02037811279296875;0.3844919204711914;0.9419741630554199;0.3302748203277588;0.7147667407989502;0;benchmarkerr0.4/8__ERBB3.log
2025-12-03T11:12:45;data/realbenchmark/8.txt;8;CyclinD1;25;4;70;0.8865823110191743;0.9999819962847055;0.005402129832083739;0.022479084414950126;119.000;119.000;0.809;0.993;0.809;0.998;0.017;0.437;1.000;0.981;1.000;1.000;1.000;0.981;1.000;0.981;1.000;1.000;1.000;0.981;0.667;0.981;1.000;1.000;1.000;0.983;0.001783132553100586;0.020158052444458008;0.3935129642486572;0.947627067565918;1.0552339553833008;1.448746919631958;0;benchmarkerr0.4/8__CyclinD1.log
2025-12-03T11:13:20;data/realbenchmark/8.txt;8;FOXO1_3a;25;4;70;0.0;1.0;0.0;1.8181818181775806e-06;121.000;121.000;;;0.000;1.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.00173187255859375;0.020036935806274414;0.3937211036682129;0.9543430805206299;0.18222689628601074;0.5759479999542236;0;benchmarkerr0.4/8__FOXO1_3a.log
