timestamp;model;model_basename;target;num_nodes;num_inputs;num_edges;ndcg_ko;ndcg_ki;error_ko;error_ki;ave_cor_rows_all;ave_cor_rows_input;n_common_ko;n_common_ki;kendall_ko;kendall_ki;spearman_ko;spearman_ki;mean_abs_rank_diff_ko;mean_abs_rank_diff_ki;top10_jaccard_ko;top10_jaccard_ki;precision_at_10_ko;precision_at_10_ki;recall_at_10_ko;recall_at_10_ki;top20_jaccard_ko;top20_jaccard_ki;precision_at_20_ko;precision_at_20_ki;recall_at_20_ko;recall_at_20_ki;group_jaccard_1_ko;group_jaccard_1_ki;group_jaccard_2_ko;group_jaccard_2_ki;group_jaccard_3_ko;group_jaccard_3_ki;time_heading;time_simulate_original;time_original_analysis;time_propagation;returncode;log_file
2026-01-24T11:07:50;data/realbenchmark/1.txt;1;Apoptosis;41;2;73;0.8023;0.9561;0.07905694150420949;0.0843685697138191;0.8875;1.0;40.000;40.000;0.555;0.647;0.590;0.824;0.925;0.950;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.400;0.800;0.150;0.556;1.000;0.175;0.002107858657836914;0.05690598487854004;4.305910110473633;0.32943177223205566;0;realbenchmarklogs/1__Apoptosis.log
2026-01-24T11:07:57;data/realbenchmark/1.txt;1;Cas9;41;2;73;0.7949;0.9411;0.026352313834736494;0.07905694150420949;0.925;1.0;40.000;40.000;0.546;0.984;0.546;0.981;0.100;0.900;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.333;0.667;1.000;0.857;1.000;0.175;0.0018270015716552734;0.05717802047729492;4.302060842514038;0.3446075916290283;0;realbenchmarklogs/1__Cas9.log
2026-01-24T11:08:03;data/realbenchmark/1.txt;1;Cas6;41;2;73;0.8023;0.9051;0.07905694150420949;0.0843685697138191;0.8875;1.0;40.000;40.000;0.555;0.519;0.590;0.733;0.925;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.400;0.667;0.150;0.429;1.000;0.125;0.0016751289367675781;0.057008981704711914;4.269340991973877;0.28012800216674805;0;realbenchmarklogs/1__Cas6.log
2026-01-24T11:08:05;data/realbenchmark/2.txt;2;SMO;17;3;29;0.879;0.8677;0.09140208035361531;0.09990935569539396;0.8047;0.8333;16.000;16.000;0.457;0.437;0.498;0.434;0.500;1.188;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.400;0.333;0.444;0.167;1.000;0.375;0.0012021064758300781;0.018074989318847656;0.3968491554260254;0.05338883399963379;0;realbenchmarklogs/2__SMO.log
2026-01-24T11:08:08;data/realbenchmark/2.txt;2;WG_p;17;3;29;0.9242;0.9492;0.07794841161336691;0.05102848478806347;0.875;0.75;16.000;16.000;0.551;0.689;0.583;0.804;0.688;0.250;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.500;1.000;0.500;0.667;1.000;0.571;0.0008561611175537109;0.01829385757446289;0.4001729488372803;0.08937907218933105;0;realbenchmarklogs/2__WG_p.log
2026-01-18T11:23:50;data/realbenchmark/2.txt;2;HH_p;17;3;29;1.0;0.9979;0.0;0.010415625;0.9922;1.0;16.000;16.000;1.000;0.942;1.000;0.981;0.000;0.562;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.00090789794921875;0.018273115158081055;0.3994629383087158;0.0767831802368164;0;realbenchmarklogs/2__HH_p.log
2026-01-18T11:23:54;data/realbenchmark/3.txt;3;CyclinB1;25;4;70;1.0;0.0;0.0;0.06250166667777748;0.9688;1.0;24.000;24.000;;;1.000;0.000;0.000;1.833;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.042;1.000;0.125;1.000;1.000;0.0020720958709716797;0.02126288414001465;0.9642443656921387;0.7878987789154053;0;realbenchmarklogs/3__CyclinB1.log
2026-01-18T11:23:57;data/realbenchmark/3.txt;3;cRAF;25;4;70;1.0;0.0;0.0;0.1323142479415325;0.9271;0.9375;24.000;24.000;;;1.000;0.000;0.000;0.917;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.083;1.000;1.000;1.000;1.000;0.0016331672668457031;0.020850181579589844;0.9546208381652832;0.3366703987121582;0;realbenchmarklogs/3__cRAF.log
2026-01-18T11:24:01;data/realbenchmark/3.txt;3;RB;25;4;70;0.0;1.0;0.0;0.0;1.0;1.0;24.000;24.000;;;0.000;1.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.0017023086547851562;0.021326065063476562;0.9680700302124023;0.4165771007537842;0;realbenchmarklogs/3__RB.log
2026-01-18T11:24:04;data/realbenchmark/4.txt;4;p70S6K;16;5;46;0.988;1.0;0.006454972243679028;0.0;0.9958;0.9;15.000;15.000;0.891;1.000;0.943;1.000;0.133;0.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.800;1.000;0.0013768672943115234;0.026919841766357422;0.5643901824951172;0.9479935169219971;0;realbenchmarklogs/4__p70S6K.log
