timestamp;model;model_basename;target;num_nodes;num_inputs;num_edges;ndcg_ko;ndcg_ki;error_ko;error_ki;ave_cor_rows_all;ave_cor_rows_input;n_common_ko;n_common_ki;kendall_ko;kendall_ki;spearman_ko;spearman_ki;mean_abs_rank_diff_ko;mean_abs_rank_diff_ki;top10_jaccard_ko;top10_jaccard_ki;precision_at_10_ko;precision_at_10_ki;recall_at_10_ko;recall_at_10_ki;top20_jaccard_ko;top20_jaccard_ki;precision_at_20_ko;precision_at_20_ki;recall_at_20_ko;recall_at_20_ki;group_jaccard_1_ko;group_jaccard_1_ki;group_jaccard_2_ko;group_jaccard_2_ki;group_jaccard_3_ko;group_jaccard_3_ki;time_heading;time_simulate_original;time_original_analysis;time_propagation;returncode;log_file
2026-01-23T22:54:16;data/realbenchmark/1.txt;1;Apoptosis;41;2;73;0.8003;0.9912;0.023753654689565376;0.013176156917368247;0.9313;1.0;40.000;40.000;0.555;0.762;0.590;0.954;0.925;0.100;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.400;1.000;0.150;1.000;1.000;0.600;0.001956939697265625;0.05672311782836914;4.2900550365448;0.253110408782959;0;realbenchmarklogs_uniform/1__Apoptosis.log
2026-01-23T22:54:23;data/realbenchmark/1.txt;1;Cas9;41;2;73;0.7949;0.9406;0.013176156917368247;0.026352313834736494;0.925;1.0;40.000;40.000;0.546;0.984;0.546;0.981;0.100;0.900;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.333;0.667;1.000;0.857;1.000;0.175;0.0018241405487060547;0.05661892890930176;4.268661975860596;0.34889912605285645;0;realbenchmarklogs_uniform/1__Cas9.log
2026-01-23T22:54:29;data/realbenchmark/1.txt;1;Cas6;41;2;73;0.8003;0.9835;0.023753654689565376;0.013176156917368247;0.9313;1.0;40.000;40.000;0.555;0.681;0.590;0.932;0.925;0.100;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.400;1.000;0.150;1.000;1.000;0.500;0.001856088638305664;0.05759072303771973;4.307377099990845;0.13843965530395508;0;realbenchmarklogs_uniform/1__Cas6.log
2026-01-23T22:54:32;data/realbenchmark/2.txt;2;SMO;17;3;29;0.8952;0.8591;0.02029747040119778;0.02209708691207961;0.8203;0.9167;16.000;16.000;0.506;0.428;0.516;0.422;0.375;0.938;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.400;0.333;0.667;0.250;1.000;0.562;0.0011258125305175781;0.01790475845336914;0.3937699794769287;0.07155966758728027;0;realbenchmarklogs_uniform/2__SMO.log
2026-01-23T22:54:34;data/realbenchmark/2.txt;2;WG_p;17;3;29;0.9257;0.9662;0.017469281074217108;0.013531646934131853;0.875;0.75;16.000;16.000;0.480;0.708;0.480;0.788;0.312;0.188;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.375;1.000;1.000;0.571;1.000;1.000;0.0008790493011474609;0.017995119094848633;0.3982818126678467;0.08858942985534668;0;realbenchmarklogs_uniform/2__WG_p.log
2026-01-23T22:54:37;data/realbenchmark/2.txt;2;HH_p;17;3;29;1.0;0.9966;0.0;0.00390625;0.9922;1.0;16.000;16.000;1.000;0.941;1.000;0.971;0.000;0.562;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.438;0.0008540153503417969;0.018146038055419922;0.39676475524902344;0.0814051628112793;0;realbenchmarklogs_uniform/2__HH_p.log
2026-01-23T22:54:40;data/realbenchmark/3.txt;3;CyclinB1;25;4;70;1.0;0.0;0.0;0.010825317547305483;0.9688;1.0;24.000;24.000;;;1.000;0.000;0.000;1.833;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.042;1.000;0.125;1.000;1.000;0.0029909610748291016;0.020952224731445312;0.9543499946594238;0.6357729434967041;0;realbenchmarklogs_uniform/3__CyclinB1.log
2026-01-23T22:54:44;data/realbenchmark/3.txt;3;cRAF;25;4;70;1.0;0.0;0.0;0.02525907427704613;0.9271;0.9375;24.000;24.000;;;1.000;0.000;0.000;0.917;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.083;1.000;1.000;1.000;1.000;0.001706838607788086;0.020983219146728516;0.9477040767669678;0.3365020751953125;0;realbenchmarklogs_uniform/3__cRAF.log
2026-01-23T22:54:47;data/realbenchmark/3.txt;3;RB;25;4;70;0.0;1.0;0.0;0.0;1.0;1.0;24.000;24.000;;;0.000;1.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.0016279220581054688;0.021089792251586914;0.9608588218688965;0.40973877906799316;0;realbenchmarklogs_uniform/3__RB.log
2026-01-23T22:54:50;data/realbenchmark/4.txt;4;p70S6K;16;5;46;0.9908;1.0;0.001342634226685238;0.0;0.9958;0.9;15.000;15.000;0.912;1.000;0.973;1.000;0.067;0.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.833;1.000;0.0024042129516601562;0.026760101318359375;0.558480978012085;0.9436569213867188;0;realbenchmarklogs_uniform/4__p70S6K.log
