timestamp,model,model_basename,target,num_nodes,error_ko,error_ki,n_common_ko,n_common_ki,kendall_ko,kendall_ki,spearman_ko,spearman_ki,mean_abs_rank_diff_ko,mean_abs_rank_diff_ki,top10_jaccard_ko,top10_jaccard_ki,precision_at_10_ko,precision_at_10_ki,recall_at_10_ko,recall_at_10_ki,top20_jaccard_ko,top20_jaccard_ki,precision_at_20_ko,precision_at_20_ki,recall_at_20_ko,recall_at_20_ki,group_jaccard_1_ko,group_jaccard_1_ki,group_jaccard_2_ko,group_jaccard_2_ki,group_jaccard_3_ko,group_jaccard_3_ki,time_heading,time_simulate_original,time_original_analysis,time_propagation,returncode,log_file
2025-10-08T16:47:35,data/realbenchmark/1.txt,1,Apoptosis,85,0.8098656388199073,1.079215401276752,85.000,85.000,0.024,0.396,-0.063,0.496,3.588,1.647,0.118,0.556,1.000,0.667,0.118,0.769,1.000,0.323,1.000,0.500,1.000,0.476,0.000,0.556,0.047,0.323,0.118,0.318,0.0013699531555175781,0.037383079528808594,2.892258882522583,0.2936396598815918,0,realbenchmarklog/1__Apoptosis.log
2025-10-08T16:47:54,data/realbenchmark/1.txt,1,Cas9,85,0.7174300539794393,0.7592566023652966,85.000,85.000,0.024,0.563,-0.063,0.696,3.588,0.612,0.118,0.600,1.000,0.632,0.118,0.923,1.000,0.405,1.000,0.577,1.000,0.577,0.000,0.429,0.047,0.636,0.118,0.452,0.0010628700256347656,0.039051055908203125,2.9646761417388916,0.3290271759033203,0,realbenchmarklog/1__Cas9.log
2025-10-08T16:48:12,data/realbenchmark/1.txt,1,Cas6,86,0.8575926283959475,1.263301322946406,86.000,86.000,0.045,0.385,0.141,0.463,3.186,1.581,0.174,0.588,1.000,0.588,0.174,1.000,0.477,0.375,1.000,0.500,0.477,0.600,0.111,0.588,0.058,0.344,0.174,0.375,0.0010488033294677734,0.040064096450805664,2.930495262145996,0.14832091331481934,0,realbenchmarklog/1__Cas6.log
2025-10-08T16:48:15,data/realbenchmark/2.txt,2,SMO,37,0.8220113774118912,0.6844580949800971,37.000,37.000,0.460,0.392,0.487,0.398,0.486,0.649,0.286,0.455,0.500,1.000,0.400,0.455,0.568,0.595,0.568,0.595,1.000,1.000,0.400,0.250,0.571,0.333,1.000,0.455,0.0009241104125976562,0.012079238891601562,0.26882386207580566,0.0988168716430664,0,realbenchmarklog/2__SMO.log
2025-10-08T16:48:19,data/realbenchmark/2.txt,2,WG_p,37,0.7632607473061734,0.35512718886375105,37.000,37.000,0.475,0.618,0.465,0.801,2.081,0.486,0.526,0.562,1.000,0.692,0.526,0.750,1.000,1.000,1.000,1.000,1.000,1.000,0.000,1.000,0.368,0.833,0.270,0.875,0.0005497932434082031,0.012311935424804688,0.271820068359375,0.12790799140930176,0,realbenchmarklog/2__WG_p.log
2025-10-08T16:48:22,data/realbenchmark/2.txt,2,HH_p,37,1.0251711949322997,0.2324720308663714,37.000,37.000,0.249,0.718,0.064,0.870,2.432,0.270,0.270,0.297,1.000,1.000,0.270,0.297,1.000,1.000,1.000,1.000,1.000,1.000,0.000,1.000,0.000,1.000,0.297,0.636,0.0005459785461425781,0.012334823608398438,0.27318811416625977,0.10116791725158691,0,realbenchmarklog/2__HH_p.log
2025-10-08T16:48:46,data/realbenchmark/3.txt,3,CyclinB1,119,0.48370409846718226,2.5001652067430262,119.000,119.000,0.563,0.229,0.593,0.236,1.891,3.966,1.000,0.101,1.000,1.000,1.000,0.101,1.000,0.210,1.000,1.000,1.000,0.210,0.333,0.444,0.067,0.308,0.076,0.210,0.0019462108612060547,0.014471292495727539,0.658160924911499,0.30760955810546875,0,realbenchmarklog/3__CyclinB1.log
2025-10-08T16:49:10,data/realbenchmark/3.txt,3,cRAF,119,0.03819882637116557,1.1974410559693571,119.000,119.000,0.813,0.459,0.813,0.558,0.008,3.437,1.000,0.092,1.000,1.000,1.000,0.092,1.000,0.193,1.000,1.000,1.000,0.193,0.667,1.000,1.000,0.333,1.000,0.126,0.0011181831359863281,0.01456594467163086,0.6570699214935303,0.29127025604248047,0,realbenchmarklog/3__cRAF.log
2025-10-08T16:49:33,data/realbenchmark/3.txt,3,RB,116,0.33055124948256176,2.213940346418575,116.000,116.000,,,0.000,0.360,1.957,4.034,1.000,0.129,1.000,1.000,1.000,0.129,1.000,0.224,1.000,1.000,1.000,0.224,0.017,0.333,0.026,0.224,1.000,0.310,0.0010111331939697266,0.014596939086914062,0.6639969348907471,0.7581348419189453,0,realbenchmarklog/3__RB.log
2025-10-08T16:49:50,data/realbenchmark/4.txt,4,p70S6K,69,0.6839781333906236,0.13459547551454137,69.000,69.000,0.524,0.953,0.497,0.961,4.029,0.246,0.353,1.000,0.600,1.000,0.462,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.250,0.914,0.125,0.919,0.0018138885498046875,0.018475055694580078,0.3883509635925293,0.5843682289123535,0,realbenchmarklog/4__p70S6K.log
